searchterm,userid,created_year,created_month,created_date,created_hour,created_min,created_sec,retweet_count,favorite_count,friends_count,followers_count,tweet
progressiveinsurance,918938740919296000,2018,05,15,13,07,15,0,0,50,1,#ProgressiveInsurance #AutoInsurance Mercury Insurance Group (MCY) Stake Lifted by Stephens Inc. AR… https://t.co/zl0n9xLZrZ
progressiveinsurance,918925738610495489,2018,05,21,15,03,21,0,0,53,2,#HealthInsurancePlans #ProgressiveInsurance Apon Wellbeing Ltd. wins MetLife Foundation Financial Innovation Compe… https://t.co/GgtdK898UL
progressiveinsurance,918190758133420032,2018,05,21,12,26,21,0,0,51,1,#ChubbInsurance #ProgressiveInsurance Martin St. Lucie County public records: April 28 2018… https://t.co/TUWF1KgWDH
progressiveinsurance,918933726184304641,2018,05,16,12,50,16,0,0,63,2,#InsuranceCompanies #ProgressiveInsurance New health minister doesn't support incentive-based or private health ca… https://t.co/BPwJBfT3vI
progressiveinsurance,918925737901613056,2018,05,15,13,01,15,0,0,47,0,#DentalInsurance #ProgressiveInsurance Health insurance CEOs earned $342.6M in 2017 https://t.co/BeACVEvqwc https://t.co/bjtAMxSzf8
progressiveinsurance,918929717830586368,2018,05,16,12,46,16,0,0,54,3,#CarInsuranceFlorida #ProgressiveInsurance Seniors celebrated at Selective Insurance https://t.co/AEhR72HbGM https://t.co/oShJK5n5lc
progressiveinsurance,950010668345851904,2018,05,23,02,32,23,0,1,296,361,@ItsFlo @ItsFlo Awww.... that was so sweet of you!! Thank you for responding!! My family loves you!! May God contin… https://t.co/bR51qGz6sa
progressiveinsurance,918926137807515648,2018,05,16,13,56,16,0,0,69,3,#HealthInsurance #ProgressiveInsurance Insurance Companies Set An Unreasonable Bar For Mental Health Coverage… https://t.co/kaE0HVkPPN
progressiveinsurance,918201015509442560,2018,05,15,12,40,15,0,0,24,3,#TravelInsurance #ProgressiveInsurance The Card You Need Before You Make Your Next Rental Car Reservation… https://t.co/DjpSNy8oEd
progressiveinsurance,918929988476338176,2018,05,16,14,41,16,0,0,51,1,#AigInsurance #ProgressiveInsurance Allstate giving out free disaster preparedness kits https://t.co/C4ksdSiJzd https://t.co/5jhHRBYxdr
progressiveinsurance,948959691559890945,2018,05,17,16,27,17,0,0,14,12,#4 in the beginning some of it could have been corrected or at least dealt with differently It's been 10 months of… https://t.co/SmHorQdHaM
progressiveinsurance,918940801631211523,2018,05,21,14,01,21,0,0,65,3,#ProgressiveInsurance #UsaaAutoInsurance Insurance company uses AI to evaluate companies' creditworthiness… https://t.co/S5Z9SeEH5N
progressiveinsurance,3312840571,2018,05,20,17,55,20,0,0,19752,18232,@TPP_of_Suffolk @DiamondandSilk @Cheesecake Thank you TPP 👍👍now I know where I will spend my $$$ Love ProgressiveIn… https://t.co/vNmr2OlJ1v
progressiveinsurance,918938740919296000,2018,05,16,11,46,16,0,0,50,1,#ProgressiveInsurance #AffordableCarInsurance Allstate agent named as illegal gambling mastermind… https://t.co/V2wT4Ry5jD
progressiveinsurance,406609521,2018,05,21,16,13,21,0,0,960,636,Meet the Geico commercial star who played football at Iowa State https://t.co/PHvQBWQOqF #progressiveinsurance
progressiveinsurance,918201030105616384,2018,05,21,13,22,21,0,0,52,1,#AutoInsuranceQuotes #ProgressiveInsurance Maryland not doing enough to make health insurance affordable… https://t.co/FVZZR6bgqE
progressiveinsurance,918925064615202817,2018,05,16,14,40,16,0,0,53,1,#SafeAutoInsurance #ProgressiveInsurance Vision Care Lags With Blind Spots In Insurance Coverage… https://t.co/iNK87SRiHR
progressiveinsurance,918191926498689024,2018,05,14,13,19,14,0,0,64,4,#ProgressiveInsurance #GapInsurance Artificial intelligence strategies tackle 'reasonable goals' -- not moonshots… https://t.co/5uBa19PXAC
progressiveinsurance,4779715212,2018,05,16,21,00,16,0,0,583,172,https://t.co/cuZgS7UqMd #RVInsurance #InsureYourAdventure #ProgressiveInsurance https://t.co/me8bW5ymlB
progressiveinsurance,918925284136701952,2018,05,14,08,28,14,0,0,50,2,#HealthInsurancePlans #ProgressiveInsurance How Trump's New Medicare Rules Boost Amazon And Walmart… https://t.co/EJMGiI7Nd8
progressiveinsurance,918930402961711104,2018,05,14,09,05,14,0,0,51,3,#GuardianLifeInsurance #ProgressiveInsurance  Samsung to show off in-house AI startups at SXSW… https://t.co/VEwhDe3ZYe
progressiveinsurance,918201015509442560,2018,05,14,09,58,14,0,0,24,3,#ProgressiveInsurance #HealthInsurancePlans American Bar Association Offers IRS Guidance On Rules Around Forked To… https://t.co/EfCmHMGVPe
